checkpoint,world,pair_key,starting_layout,rival_side,termination,winner,duration_ticks,duration_seconds,rival_touches,nexto_touches,first_toucher,rival_saves,nexto_saves,rival_flips,nexto_flips,rival_wavedash_candidates,nexto_wavedash_candidates,rival_speed_increasing_wavedash_candidates,nexto_speed_increasing_wavedash_candidates,rival_zapdash_candidates,nexto_zapdash_candidates,rival_double_dash_candidate_events,nexto_double_dash_candidate_events
plus_239,0,side0-layout0-slot0,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,1,side0-layout1-slot1,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,2,side0-layout2-slot2,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,3,side0-layout3-slot3,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,4,side0-layout4-slot4,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,5,side0-layout0-slot5,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,6,side0-layout1-slot6,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,7,side0-layout2-slot7,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,8,side0-layout3-slot8,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,9,side0-layout4-slot9,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,10,side0-layout0-slot10,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,11,side0-layout1-slot11,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,12,side0-layout2-slot12,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,13,side0-layout3-slot13,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,14,side0-layout4-slot14,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,15,side0-layout0-slot15,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,16,side0-layout1-slot16,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,17,side0-layout2-slot17,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,18,side0-layout3-slot18,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
