checkpoint,world,pair_key,starting_layout,rival_side,termination,winner,duration_ticks,duration_seconds,rival_touches,nexto_touches,first_toucher,rival_saves,nexto_saves,rival_flips,nexto_flips,rival_wavedash_candidates,nexto_wavedash_candidates,rival_speed_increasing_wavedash_candidates,nexto_speed_increasing_wavedash_candidates,rival_zapdash_candidates,nexto_zapdash_candidates,rival_double_dash_candidate_events,nexto_double_dash_candidate_events
plus_239,0,side0-layout0-slot0,0,Blue,goal,Rival,2776,23.133333333333333,7,4,Rival,0,0,10,4,1,0,1,0,0,0,0,0
plus_239,1,side0-layout1-slot1,1,Blue,goal,Nexto,1592,13.266666666666667,3,9,Rival,0,0,6,2,0,1,0,0,0,0,0,0
plus_239,2,side0-layout2-slot2,2,Blue,goal,Nexto,2088,17.4,9,26,Rival,0,0,7,3,0,1,0,1,0,0,0,0
plus_239,3,side0-layout3-slot3,3,Blue,goal,Nexto,872,7.266666666666667,2,3,Rival,0,0,3,3,0,0,0,0,0,0,0,0
plus_239,4,side0-layout4-slot4,4,Blue,goal,Nexto,1612,13.433333333333334,1,6,Rival,0,0,6,2,0,0,0,0,0,0,0,0
plus_239,5,side0-layout0-slot5,0,Blue,goal,Nexto,1816,15.133333333333333,2,9,Rival,0,1,8,3,0,0,0,0,0,0,0,0
plus_239,6,side0-layout1-slot6,1,Blue,goal,Nexto,1700,14.166666666666666,3,21,Rival,0,0,8,4,0,0,0,0,0,0,0,0
plus_239,7,side0-layout2-slot7,2,Blue,goal,Nexto,2040,17.0,2,6,Rival,0,0,10,4,0,0,0,0,0,0,0,0
plus_239,8,side0-layout3-slot8,3,Blue,goal,Rival,680,5.666666666666667,2,2,Rival,0,0,2,2,0,0,0,0,0,0,0,0
plus_239,9,side0-layout4-slot9,4,Blue,goal,Nexto,1920,16.0,4,6,Rival,1,0,9,5,0,0,0,0,0,0,0,0
plus_239,10,side0-layout0-slot10,0,Blue,goal,Nexto,2112,17.6,5,4,Rival,0,0,7,4,0,1,0,0,0,0,0,0
plus_239,11,side0-layout1-slot11,1,Blue,goal,Nexto,1948,16.233333333333334,2,8,Rival,0,0,8,4,0,0,0,0,0,0,0,0
plus_239,12,side0-layout2-slot12,2,Blue,goal,Nexto,1184,9.866666666666667,2,4,Rival,0,0,5,3,0,1,0,1,0,0,0,0
plus_239,13,side0-layout3-slot13,3,Blue,goal,Nexto,1128,9.4,1,2,Rival,0,0,6,2,0,0,0,0,0,0,0,0
plus_239,14,side0-layout4-slot14,4,Blue,goal,Nexto,1064,8.866666666666667,3,3,Rival,0,0,3,2,0,0,0,0,0,0,0,0
plus_239,15,side0-layout0-slot15,0,Blue,goal,Nexto,1552,12.933333333333334,4,13,Rival,0,0,7,2,0,0,0,0,0,0,0,0
plus_239,16,side0-layout1-slot16,1,Blue,goal,Nexto,1120,9.333333333333334,1,4,Rival,0,0,4,1,0,0,0,0,0,0,0,0
plus_239,17,side0-layout2-slot17,2,Blue,goal,Rival,1376,11.466666666666667,6,3,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,18,side0-layout3-slot18,3,Blue,goal,Nexto,924,7.7,1,2,Rival,0,0,5,2,0,0,0,0,0,0,0,0
plus_239,19,side0-layout4-slot19,4,Blue,goal,Nexto,1148,9.566666666666666,2,10,Rival,0,1,6,2,0,0,0,0,0,0,0,0
plus_239,20,side0-layout0-slot20,0,Blue,goal,Nexto,1788,14.9,4,6,Rival,0,0,6,2,0,0,0,0,0,0,0,0
plus_239,21,side0-layout1-slot21,1,Blue,goal,Nexto,1512,12.6,2,7,Rival,0,0,6,4,0,1,0,1,0,0,0,0
plus_239,22,side0-layout2-slot22,2,Blue,goal,Nexto,1452,12.1,2,15,Rival,0,0,7,3,0,0,0,0,0,0,0,0
plus_239,23,side0-layout3-slot23,3,Blue,goal,Nexto,1684,14.033333333333333,4,19,Rival,0,0,9,1,0,0,0,0,0,0,0,0
plus_239,24,side0-layout4-slot24,4,Blue,goal,Nexto,860,7.166666666666667,3,6,Rival,0,0,4,3,0,0,0,0,0,0,0,0
plus_239,25,side0-layout0-slot25,0,Blue,goal,Nexto,1320,11.0,1,8,Rival,0,0,7,3,0,0,0,0,0,0,0,0
plus_239,26,side0-layout1-slot26,1,Blue,goal,Nexto,2824,23.533333333333335,1,9,Rival,0,0,12,3,0,0,0,0,0,0,0,0
plus_239,27,side0-layout2-slot27,2,Blue,goal,Nexto,1400,11.666666666666666,2,6,Rival,0,0,4,4,0,0,0,0,0,0,0,0
plus_239,28,side0-layout3-slot28,3,Blue,goal,Nexto,2800,23.333333333333332,12,26,Rival,0,0,10,3,0,0,0,0,0,0,0,0
plus_239,29,side0-layout4-slot29,4,Blue,goal,Nexto,2372,19.766666666666666,4,11,Rival,1,0,13,2,0,0,0,0,0,0,0,0
plus_239,30,side0-layout0-slot30,0,Blue,goal,Nexto,1864,15.533333333333333,4,3,Rival,0,0,9,3,0,0,0,0,0,0,0,0
plus_239,31,side0-layout1-slot31,1,Blue,goal,Nexto,1692,14.1,3,6,Rival,0,0,8,5,0,0,0,0,0,0,0,0
plus_239,32,side0-layout2-slot32,2,Blue,goal,Nexto,1740,14.5,3,8,Rival,0,0,7,3,0,0,0,0,0,0,0,0
plus_239,33,side0-layout3-slot33,3,Blue,goal,Nexto,1128,9.4,1,3,Rival,0,0,5,1,0,0,0,0,0,0,0,0
plus_239,34,side0-layout4-slot34,4,Blue,goal,Nexto,3048,25.4,9,12,Rival,0,0,11,7,0,0,0,0,0,0,0,0
plus_239,35,side0-layout0-slot35,0,Blue,goal,Nexto,1100,9.166666666666666,2,5,Rival,0,1,4,2,0,0,0,0,0,0,0,0
plus_239,36,side0-layout1-slot36,1,Blue,goal,Nexto,1792,14.933333333333334,4,4,Rival,0,0,9,5,0,0,0,0,0,0,0,0
plus_239,37,side0-layout2-slot37,2,Blue,goal,Rival,704,5.866666666666666,3,1,Rival,0,0,4,2,0,1,0,1,0,0,0,0
plus_239,38,side0-layout3-slot38,3,Blue,goal,Nexto,1428,11.9,3,7,Rival,1,0,9,2,0,0,0,0,0,0,0,0
plus_239,39,side0-layout4-slot39,4,Blue,goal,Nexto,1120,9.333333333333334,2,4,Rival,0,0,6,2,0,0,0,0,0,0,0,0
plus_239,40,side0-layout0-slot40,0,Blue,goal,Nexto,1292,10.766666666666667,2,10,Rival,0,0,7,2,0,0,0,0,0,0,0,0
plus_239,41,side0-layout1-slot41,1,Blue,goal,Nexto,848,7.066666666666666,2,3,Rival,1,0,4,2,0,0,0,0,0,0,0,0
plus_239,42,side0-layout2-slot42,2,Blue,goal,Rival,768,6.4,4,2,Rival,0,0,4,2,0,1,0,1,0,0,0,0
plus_239,43,side0-layout3-slot43,3,Blue,goal,Nexto,2148,17.9,4,9,Rival,0,0,11,6,1,0,1,0,0,0,0,0
plus_239,44,side0-layout4-slot44,4,Blue,goal,Nexto,1168,9.733333333333333,2,3,Rival,0,0,5,2,0,0,0,0,0,0,0,0
plus_239,45,side0-layout0-slot45,0,Blue,goal,Nexto,1180,9.833333333333334,2,3,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,46,side0-layout1-slot46,1,Blue,goal,Nexto,1612,13.433333333333334,2,5,Rival,0,0,5,5,0,0,0,0,0,0,0,0
plus_239,47,side0-layout2-slot47,2,Blue,goal,Nexto,1656,13.8,3,32,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,48,side0-layout3-slot48,3,Blue,goal,Nexto,1120,9.333333333333334,1,2,Rival,0,0,6,2,1,0,0,0,0,0,0,0
plus_239,49,side0-layout4-slot49,4,Blue,goal,Nexto,924,7.7,2,2,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,50,side0-layout0-slot50,0,Blue,goal,Nexto,1308,10.9,3,4,Rival,0,0,8,2,1,0,1,0,0,0,0,0
plus_239,51,side0-layout1-slot51,1,Blue,goal,Nexto,1724,14.366666666666667,2,29,Rival,0,0,9,3,0,0,0,0,0,0,0,0
plus_239,52,side0-layout2-slot52,2,Blue,goal,Nexto,1088,9.066666666666666,4,8,Rival,0,0,5,3,0,1,0,1,0,0,0,0
plus_239,53,side0-layout3-slot53,3,Blue,goal,Nexto,1700,14.166666666666666,1,6,Rival,0,0,8,3,0,0,0,0,0,0,0,0
plus_239,54,side0-layout4-slot54,4,Blue,goal,Nexto,1152,9.6,1,4,Rival,0,0,3,3,0,0,0,0,0,0,0,0
plus_239,55,side0-layout0-slot55,0,Blue,goal,Nexto,1508,12.566666666666666,6,24,Rival,0,0,6,4,0,0,0,0,0,0,0,0
plus_239,56,side0-layout1-slot56,1,Blue,goal,Nexto,1560,13.0,2,12,Rival,0,0,9,3,0,0,0,0,0,0,0,0
