base_state_id,source_distribution,original_rival_blue,original_rival_orange,mirror_rival_blue,mirror_rival_orange,rival_wins,nexto_wins,draws,complete_four_way_decision
0,rival_stochastic_self_play,Nexto,Rival,Nexto,Rival,2,2,0,1
1,rival_stochastic_self_play,Nexto,Rival,Rival,Draw,2,1,1,0
2,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
3,rival_stochastic_self_play,Nexto,Rival,Rival,Rival,3,1,0,1
4,rival_stochastic_self_play,Nexto,Nexto,Rival,Rival,2,2,0,1
5,rival_stochastic_self_play,Rival,Rival,Nexto,Rival,3,1,0,1
6,rival_stochastic_self_play,Nexto,Nexto,Rival,Nexto,1,3,0,1
7,rival_stochastic_self_play,Nexto,Rival,Nexto,Rival,2,2,0,1
8,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
9,rival_stochastic_self_play,Nexto,Rival,Draw,Nexto,1,2,1,0
10,rival_stochastic_self_play,Nexto,Nexto,Nexto,Nexto,0,4,0,1
11,rival_stochastic_self_play,Rival,Rival,Nexto,Rival,3,1,0,1
12,rival_stochastic_self_play,Rival,Nexto,Nexto,Nexto,1,3,0,1
13,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
14,rival_stochastic_self_play,Nexto,Nexto,Nexto,Draw,0,3,1,0
15,rival_stochastic_self_play,Nexto,Nexto,Nexto,Nexto,0,4,0,1
16,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
17,rival_stochastic_self_play,Nexto,Nexto,Nexto,Nexto,0,4,0,1
18,rival_stochastic_self_play,Rival,Nexto,Draw,Rival,2,1,1,0
19,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
20,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
21,rival_stochastic_self_play,Rival,Nexto,Nexto,Nexto,1,3,0,1
22,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
23,rival_stochastic_self_play,Nexto,Rival,Rival,Rival,3,1,0,1
24,rival_stochastic_self_play,Rival,Rival,Rival,Rival,4,0,0,1
25,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
26,rival_stochastic_self_play,Rival,Rival,Rival,Rival,4,0,0,1
27,rival_stochastic_self_play,Nexto,Rival,Nexto,Rival,2,2,0,1
28,rival_stochastic_self_play,Rival,Rival,Rival,Nexto,3,1,0,1
29,rival_stochastic_self_play,Rival,Rival,Nexto,Nexto,2,2,0,1
30,rival_stochastic_self_play,Rival,Rival,Rival,Nexto,3,1,0,1
31,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
32,rival_stochastic_self_play,Rival,Rival,Draw,Rival,3,0,1,0
33,rival_stochastic_self_play,Rival,Nexto,Nexto,Nexto,1,3,0,1
34,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
35,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
36,rival_stochastic_self_play,Nexto,Nexto,Nexto,Nexto,0,4,0,1
37,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
38,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
39,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
40,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
41,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
42,rival_stochastic_self_play,Rival,Rival,Rival,Draw,3,0,1,0
43,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
44,rival_stochastic_self_play,Nexto,Rival,Draw,Rival,2,1,1,0
45,rival_stochastic_self_play,Nexto,Rival,Nexto,Rival,2,2,0,1
46,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
47,rival_stochastic_self_play,Rival,Rival,Rival,Draw,3,0,1,0
48,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
49,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
50,rival_stochastic_self_play,Nexto,Rival,Draw,Nexto,1,2,1,0
51,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
52,rival_stochastic_self_play,Rival,Rival,Nexto,Rival,3,1,0,1
53,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
54,rival_stochastic_self_play,Nexto,Nexto,Nexto,Nexto,0,4,0,1
55,rival_stochastic_self_play,Rival,Rival,Nexto,Rival,3,1,0,1
56,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
57,rival_stochastic_self_play,Rival,Rival,Nexto,Nexto,2,2,0,1
58,rival_stochastic_self_play,Rival,Rival,Nexto,Rival,3,1,0,1
59,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
60,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
61,rival_stochastic_self_play,Nexto,Rival,Rival,Rival,3,1,0,1
62,rival_stochastic_self_play,Nexto,Nexto,Nexto,Nexto,0,4,0,1
63,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
64,rival_stochastic_self_play,Rival,Rival,Rival,Rival,4,0,0,1
65,rival_stochastic_self_play,Rival,Nexto,Rival,Rival,3,1,0,1
66,rival_stochastic_self_play,Rival,Rival,Rival,Rival,4,0,0,1
67,rival_stochastic_self_play,Nexto,Rival,Rival,Rival,3,1,0,1
68,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
69,rival_stochastic_self_play,Nexto,Rival,Rival,Rival,3,1,0,1
70,rival_stochastic_self_play,Nexto,Rival,Nexto,Rival,2,2,0,1
71,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
72,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
73,rival_stochastic_self_play,Rival,Nexto,Nexto,Nexto,1,3,0,1
74,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
75,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
76,rival_stochastic_self_play,Rival,Rival,Rival,Nexto,3,1,0,1
77,rival_stochastic_self_play,Nexto,Nexto,Rival,Nexto,1,3,0,1
78,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
79,rival_stochastic_self_play,Rival,Nexto,Rival,Rival,3,1,0,1
80,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
81,rival_stochastic_self_play,Rival,Nexto,Rival,Rival,3,1,0,1
82,rival_stochastic_self_play,Nexto,Rival,Nexto,Draw,1,2,1,0
83,rival_stochastic_self_play,Rival,Nexto,Rival,Rival,3,1,0,1
84,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
85,rival_stochastic_self_play,Rival,Rival,Rival,Rival,4,0,0,1
86,rival_stochastic_self_play,Nexto,Rival,Nexto,Rival,2,2,0,1
87,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
88,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
89,rival_stochastic_self_play,Rival,Nexto,Nexto,Nexto,1,3,0,1
90,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
91,rival_stochastic_self_play,Rival,Rival,Rival,Rival,4,0,0,1
92,rival_stochastic_self_play,Nexto,Rival,Nexto,Rival,2,2,0,1
93,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
94,rival_stochastic_self_play,Rival,Rival,Nexto,Nexto,2,2,0,1
95,rival_stochastic_self_play,Rival,Nexto,Nexto,Nexto,1,3,0,1
96,rival_stochastic_self_play,Rival,Rival,Nexto,Rival,3,1,0,1
97,rival_stochastic_self_play,Rival,Rival,Rival,Rival,4,0,0,1
98,rival_stochastic_self_play,Rival,Rival,Rival,Rival,4,0,0,1
99,rival_stochastic_self_play,Nexto,Nexto,Rival,Rival,2,2,0,1
100,rival_stochastic_self_play,Rival,Nexto,Rival,Rival,3,1,0,1
101,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
102,rival_stochastic_self_play,Nexto,Rival,Nexto,Rival,2,2,0,1
103,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
104,rival_stochastic_self_play,Rival,Rival,Rival,Rival,4,0,0,1
105,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
106,rival_stochastic_self_play,Nexto,Rival,Rival,Draw,2,1,1,0
107,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
108,rival_stochastic_self_play,Nexto,Rival,Nexto,Rival,2,2,0,1
109,rival_stochastic_self_play,Nexto,Nexto,Nexto,Nexto,0,4,0,1
110,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
111,rival_stochastic_self_play,Nexto,Nexto,Rival,Nexto,1,3,0,1
112,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
113,rival_stochastic_self_play,Rival,Rival,Rival,Rival,4,0,0,1
114,rival_stochastic_self_play,Rival,Rival,Nexto,Rival,3,1,0,1
115,rival_stochastic_self_play,Nexto,Rival,Rival,Rival,3,1,0,1
116,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
117,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
118,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
119,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
120,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
121,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
122,rival_stochastic_self_play,Nexto,Rival,Nexto,Rival,2,2,0,1
123,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
124,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
125,rival_stochastic_self_play,Rival,Rival,Draw,Rival,3,0,1,0
126,rival_stochastic_self_play,Nexto,Rival,Rival,Rival,3,1,0,1
127,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
128,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
129,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
130,rival_stochastic_self_play,Nexto,Nexto,Rival,Nexto,1,3,0,1
131,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
132,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
133,rival_stochastic_self_play,Rival,Rival,Rival,Draw,3,0,1,0
134,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
135,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
136,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
137,rival_stochastic_self_play,Nexto,Rival,Rival,Rival,3,1,0,1
138,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
139,rival_stochastic_self_play,Rival,Rival,Rival,Nexto,3,1,0,1
140,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
141,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
142,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
143,rival_stochastic_self_play,Rival,Rival,Draw,Rival,3,0,1,0
144,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
145,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
146,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
147,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
148,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
149,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
150,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
151,rival_stochastic_self_play,Nexto,Nexto,Nexto,Nexto,0,4,0,1
152,rival_stochastic_self_play,Nexto,Rival,Rival,Rival,3,1,0,1
153,rival_stochastic_self_play,Rival,Rival,Nexto,Rival,3,1,0,1
154,rival_stochastic_self_play,Nexto,Nexto,Nexto,Nexto,0,4,0,1
155,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
156,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
157,rival_stochastic_self_play,Nexto,Nexto,Nexto,Draw,0,3,1,0
158,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
159,rival_stochastic_self_play,Draw,Rival,Rival,Rival,3,0,1,0
160,rival_stochastic_self_play,Nexto,Nexto,Nexto,Nexto,0,4,0,1
161,rival_stochastic_self_play,Nexto,Rival,Nexto,Nexto,1,3,0,1
162,rival_stochastic_self_play,Nexto,Rival,Draw,Nexto,1,2,1,0
163,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
164,rival_stochastic_self_play,Rival,Rival,Nexto,Rival,3,1,0,1
165,rival_stochastic_self_play,Rival,Nexto,Rival,Nexto,2,2,0,1
166,rival_stochastic_self_play,Nexto,Rival,Rival,Nexto,2,2,0,1
167,rival_stochastic_self_play,Rival,Rival,Nexto,Rival,3,1,0,1
168,rival_stochastic_self_play,Rival,Rival,Nexto,Rival,3,1,0,1
169,rival_stochastic_self_play,Rival,Nexto,Rival,Nexto,2,2,0,1
170,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
171,rival_stochastic_self_play,Rival,Nexto,Nexto,Rival,2,2,0,1
172,rival_stochastic_self_play,Draw,Rival,Nexto,Rival,2,1,1,0
173,rival_stochastic_self_play,Rival,Rival,Rival,Rival,4,0,0,1
174,rival_stochastic_self_play,Nexto,Rival,Rival,Rival,3,1,0,1
175,rival_stochastic_self_play,Rival,Rival,Nexto,Rival,3,1,0,1
176,rival_stochastic_self_play,Nexto,Nexto,Nexto,Rival,1,3,0,1
177,rival_stochastic_self_play,Nexto,Nexto,Nexto,Nexto,0,4,0,1
