duel_id,base_state_id,variant,mirror,source_distribution,rival_side,initial_physical_role_inherited_by_rival,initial_ball_x_uu,initial_ball_y_uu,initial_ball_z_uu,initial_field_third,initial_height_bin,initial_closest_policy,initial_rival_boost,initial_nexto_boost,initial_boost_advantage,initial_boost_advantage_bin,outcome,time_to_goal_ticks,time_to_goal_seconds,physical_scoring_team,first_toucher_physical_team,last_toucher_physical_team,final_touch_to_goal_ticks,goal_entry_valid,canonical_goal_entry_x_uu,goal_entry_z_uu
0,0,0,0,rival_stochastic_self_play,Blue,original_blue_car,483.563232421875,-3495.083984375,187.31179809570312,blue_defensive_third,low_0_to_300_uu,Rival,12.0,0.0,12.0,within_25,Nexto,2944,24.533333333333335,Orange,Blue,Orange,325,1,-209.88821411132812,120.11263275146484
1,0,1,0,rival_stochastic_self_play,Orange,original_orange_car,483.563232421875,-3495.083984375,187.31179809570312,blue_defensive_third,low_0_to_300_uu,Nexto,0.0,12.0,-12.0,within_25,Rival,735,6.125,Orange,Orange,Orange,161,1,15.140701293945312,460.446044921875
2,0,2,1,rival_stochastic_self_play,Blue,original_orange_car,-483.563232421875,3495.083984375,187.31179809570312,orange_defensive_third,low_0_to_300_uu,Nexto,0.0,12.0,-12.0,within_25,Nexto,2790,23.25,Orange,Blue,Orange,24,1,65.90238952636719,142.87217712402344
3,0,3,1,rival_stochastic_self_play,Orange,original_blue_car,-483.563232421875,3495.083984375,187.31179809570312,orange_defensive_third,low_0_to_300_uu,Rival,12.0,0.0,12.0,within_25,Rival,2110,17.583333333333332,Orange,Orange,Orange,19,1,-172.0529327392578,132.83871459960938
4,1,0,0,rival_stochastic_self_play,Blue,original_blue_car,3449.546875,-4480.62646484375,304.0947570800781,blue_defensive_third,middle_300_to_1000_uu,Nexto,2.0000038146972656,95.5555419921875,-93.5555419921875,Rival_trails_by_more_than_25,Nexto,4302,35.85,Orange,Blue,Orange,107,1,-92.3264389038086,93.14403533935547
5,1,1,0,rival_stochastic_self_play,Orange,original_orange_car,3449.546875,-4480.62646484375,304.0947570800781,blue_defensive_third,middle_300_to_1000_uu,Rival,95.5555419921875,2.0000038146972656,93.5555419921875,Rival_leads_by_more_than_25,Rival,643,5.358333333333333,Orange,Blue,Orange,127,1,-206.81692504882812,111.08020782470703
6,1,2,1,rival_stochastic_self_play,Blue,original_orange_car,-3449.546875,4480.62646484375,304.0947570800781,orange_defensive_third,middle_300_to_1000_uu,Rival,95.5555419921875,2.0000038146972656,93.5555419921875,Rival_leads_by_more_than_25,Rival,643,5.358333333333333,Blue,Orange,Blue,127,1,-205.5618133544922,109.12457275390625
7,1,3,1,rival_stochastic_self_play,Orange,original_blue_car,-3449.546875,4480.62646484375,304.0947570800781,orange_defensive_third,middle_300_to_1000_uu,Nexto,2.0000038146972656,95.5555419921875,-93.5555419921875,Rival_trails_by_more_than_25,Draw,,,,Orange,Blue,,0,0.0,0.0
8,2,0,0,rival_stochastic_self_play,Blue,original_blue_car,-2769.723876953125,2630.01220703125,93.4611587524414,orange_defensive_third,low_0_to_300_uu,Nexto,0.0,0.0,0.0,within_25,Nexto,2474,20.616666666666667,Orange,Blue,Orange,138,1,766.1290283203125,93.5584945678711
9,2,1,0,rival_stochastic_self_play,Orange,original_orange_car,-2769.723876953125,2630.01220703125,93.4611587524414,orange_defensive_third,low_0_to_300_uu,Rival,0.0,0.0,0.0,within_25,Rival,1122,9.35,Orange,Blue,Orange,83,1,-122.28905487060547,111.83209228515625
10,2,2,1,rival_stochastic_self_play,Blue,original_orange_car,2769.723876953125,-2630.01220703125,93.4611587524414,blue_defensive_third,low_0_to_300_uu,Rival,0.0,0.0,0.0,within_25,Rival,1026,8.55,Blue,Orange,Orange,133,1,642.5662841796875,105.37681579589844
11,2,3,1,rival_stochastic_self_play,Orange,original_blue_car,2769.723876953125,-2630.01220703125,93.4611587524414,blue_defensive_third,low_0_to_300_uu,Nexto,0.0,0.0,0.0,within_25,Nexto,940,7.833333333333333,Blue,Orange,Blue,135,1,-435.422607421875,93.08804321289062
12,3,0,0,rival_stochastic_self_play,Blue,original_blue_car,-1571.5255126953125,3263.19921875,841.915771484375,orange_defensive_third,middle_300_to_1000_uu,Nexto,0.0,0.0,0.0,within_25,Nexto,1658,13.816666666666666,Orange,Orange,Orange,49,1,-150.14907836914062,95.66748809814453
13,3,1,0,rival_stochastic_self_play,Orange,original_orange_car,-1571.5255126953125,3263.19921875,841.915771484375,orange_defensive_third,middle_300_to_1000_uu,Rival,0.0,0.0,0.0,within_25,Rival,1887,15.725,Orange,Orange,Orange,40,1,204.3403778076172,96.97305297851562
14,3,2,1,rival_stochastic_self_play,Blue,original_orange_car,1571.5255126953125,-3263.19921875,841.915771484375,blue_defensive_third,middle_300_to_1000_uu,Rival,0.0,0.0,0.0,within_25,Rival,1889,15.741666666666667,Blue,Blue,Blue,113,1,286.8023376464844,118.05432891845703
15,3,3,1,rival_stochastic_self_play,Orange,original_blue_car,1571.5255126953125,-3263.19921875,841.915771484375,blue_defensive_third,middle_300_to_1000_uu,Nexto,0.0,0.0,0.0,within_25,Rival,2465,20.541666666666668,Orange,Blue,Orange,119,1,-801.8882446289062,279.596435546875
16,4,0,0,rival_stochastic_self_play,Blue,original_blue_car,-237.30523681640625,130.653076171875,255.6641845703125,midfield_third,low_0_to_300_uu,Rival,4.222225189208984,2.0000038146972656,2.2222213745117188,within_25,Nexto,3801,31.675,Orange,Blue,Orange,85,1,163.7189178466797,93.11355590820312
17,4,1,0,rival_stochastic_self_play,Orange,original_orange_car,-237.30523681640625,130.653076171875,255.6641845703125,midfield_third,low_0_to_300_uu,Nexto,2.0000038146972656,4.222225189208984,-2.2222213745117188,within_25,Nexto,3628,30.233333333333334,Blue,Blue,Blue,225,1,-190.73202514648438,93.10826873779297
18,4,2,1,rival_stochastic_self_play,Blue,original_orange_car,237.30523681640625,-130.653076171875,255.6641845703125,midfield_third,low_0_to_300_uu,Nexto,2.0000038146972656,4.222225189208984,-2.2222213745117188,within_25,Rival,3500,29.166666666666668,Blue,Orange,Orange,13,1,33.74001693725586,159.91091918945312
19,4,3,1,rival_stochastic_self_play,Orange,original_blue_car,237.30523681640625,-130.653076171875,255.6641845703125,midfield_third,low_0_to_300_uu,Rival,4.222225189208984,2.0000038146972656,2.2222213745117188,within_25,Rival,5035,41.958333333333336,Orange,Orange,Blue,115,1,-506.685791015625,176.603515625
20,5,0,0,rival_stochastic_self_play,Blue,original_blue_car,-1079.6927490234375,-698.9100341796875,166.12838745117188,midfield_third,low_0_to_300_uu,Nexto,12.0,0.0,12.0,within_25,Rival,1019,8.491666666666667,Blue,Blue,Blue,30,1,-206.1230926513672,142.3206024169922
21,5,1,0,rival_stochastic_self_play,Orange,original_orange_car,-1079.6927490234375,-698.9100341796875,166.12838745117188,midfield_third,low_0_to_300_uu,Rival,0.0,12.0,-12.0,within_25,Rival,1602,13.35,Orange,Blue,Orange,74,1,-654.1981811523438,96.7401123046875
22,5,2,1,rival_stochastic_self_play,Blue,original_orange_car,1079.6927490234375,698.9100341796875,166.12838745117188,midfield_third,low_0_to_300_uu,Rival,0.0,12.0,-12.0,within_25,Nexto,2671,22.258333333333333,Orange,Orange,Orange,89,1,-267.9862365722656,93.09939575195312
23,5,3,1,rival_stochastic_self_play,Orange,original_blue_car,1079.6927490234375,698.9100341796875,166.12838745117188,midfield_third,low_0_to_300_uu,Nexto,12.0,0.0,12.0,within_25,Rival,1031,8.591666666666667,Orange,Orange,Orange,21,1,-234.124267578125,159.5520782470703
24,6,0,0,rival_stochastic_self_play,Blue,original_blue_car,1458.2955322265625,4243.11962890625,227.6986541748047,orange_defensive_third,low_0_to_300_uu,Nexto,0.888892650604248,3.111114501953125,-2.222221851348877,within_25,Nexto,1264,10.533333333333333,Orange,Orange,Orange,206,1,700.8963623046875,259.7395324707031
25,6,1,0,rival_stochastic_self_play,Orange,original_orange_car,1458.2955322265625,4243.11962890625,227.6986541748047,orange_defensive_third,low_0_to_300_uu,Rival,3.111114501953125,0.888892650604248,2.222221851348877,within_25,Nexto,1272,10.6,Blue,Orange,Blue,125,1,16.05756378173828,319.8278503417969
26,6,2,1,rival_stochastic_self_play,Blue,original_orange_car,-1458.2955322265625,-4243.11962890625,227.6986541748047,blue_defensive_third,low_0_to_300_uu,Rival,3.111114501953125,0.888892650604248,2.222221851348877,within_25,Rival,3504,29.2,Blue,Blue,Blue,56,1,-354.56494140625,126.54969787597656
27,6,3,1,rival_stochastic_self_play,Orange,original_blue_car,-1458.2955322265625,-4243.11962890625,227.6986541748047,blue_defensive_third,low_0_to_300_uu,Nexto,0.888892650604248,3.111114501953125,-2.222221851348877,within_25,Nexto,1260,10.5,Blue,Blue,Blue,203,1,590.9122314453125,216.900634765625
