checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_030,Nexto,0,0,Blue,goal,Nexto,1060,2,3,Rival,1,0,2,3,5,2,0,0,0,0
plus_030,Nexto,1,1,Blue,goal,Nexto,1800,2,6,Rival,0,0,2,2,8,2,0,0,0,0
plus_030,Nexto,2,2,Blue,goal,Nexto,1100,1,7,Nexto,0,0,1,2,5,2,0,0,0,0
plus_030,Nexto,3,3,Blue,goal,Nexto,1564,4,6,Rival,0,0,4,4,8,4,0,1,0,0
plus_030,Nexto,4,4,Blue,goal,Nexto,1240,1,4,Rival,0,0,1,2,4,2,0,0,0,0
plus_030,Nexto,5,0,Blue,goal,Nexto,2364,5,13,Rival,3,0,5,2,11,3,0,0,0,0
plus_030,Nexto,6,1,Blue,goal,Nexto,1724,1,43,Rival,0,0,1,1,5,2,0,0,0,0
plus_030,Nexto,7,2,Blue,goal,Nexto,1872,4,9,Rival,0,0,4,4,6,4,0,1,0,0
plus_030,Nexto,8,3,Blue,goal,Nexto,1556,2,8,Rival,0,0,2,6,8,3,0,0,0,0
plus_030,Nexto,9,4,Blue,goal,Rival,596,2,1,Rival,0,0,2,1,2,1,0,0,0,0
plus_030,Nexto,10,0,Blue,goal,Nexto,1240,4,6,Rival,0,0,4,4,4,4,0,0,0,0
plus_030,Nexto,11,1,Blue,goal,Nexto,3380,4,8,Rival,0,1,3,4,10,8,0,0,0,0
plus_030,Nexto,12,2,Blue,goal,Nexto,752,3,8,Rival,0,0,3,3,4,2,0,1,0,0
plus_030,Nexto,13,3,Blue,goal,Nexto,1244,1,4,Rival,0,0,1,3,5,3,0,0,0,0
plus_030,Nexto,14,4,Blue,goal,Nexto,3096,6,10,Rival,0,0,6,4,12,5,1,0,0,0
plus_030,Nexto,15,0,Blue,goal,Nexto,2748,3,9,Rival,0,0,3,5,9,7,0,0,0,0
plus_030,Nexto,16,1,Blue,goal,Nexto,828,1,2,Rival,0,0,1,2,3,2,0,0,0,0
plus_030,Nexto,17,2,Blue,goal,Nexto,1940,3,3,Rival,0,0,3,2,6,4,0,1,0,0
plus_030,Nexto,18,3,Blue,goal,Nexto,1036,1,3,Rival,0,0,1,3,4,3,0,0,0,0
plus_030,Nexto,19,4,Blue,goal,Nexto,1292,2,3,Rival,0,0,2,3,5,2,0,0,0,0
plus_030,Nexto,20,0,Blue,goal,Nexto,868,2,4,Rival,0,0,2,4,5,2,0,0,0,0
plus_030,Nexto,21,1,Blue,goal,Nexto,828,1,2,Rival,0,0,1,2,3,2,0,0,0,0
plus_030,Nexto,22,2,Blue,goal,Rival,544,2,1,Rival,0,0,2,1,2,1,0,1,0,0
plus_030,Nexto,23,3,Blue,goal,Nexto,900,2,4,Rival,0,0,2,4,4,2,1,0,0,0
plus_030,Nexto,24,4,Blue,goal,Nexto,1960,4,7,Rival,0,1,4,5,8,5,0,0,0,0
plus_030,Nexto,25,0,Blue,goal,Nexto,3512,4,16,Rival,0,0,3,8,13,7,1,0,0,0
plus_030,Nexto,26,1,Blue,goal,Nexto,1156,2,3,Rival,0,0,2,2,4,2,1,0,0,0
plus_030,Nexto,27,2,Blue,goal,Nexto,2072,3,6,Rival,0,1,2,4,7,6,0,1,0,0
plus_030,Nexto,28,3,Blue,goal,Nexto,732,3,2,Rival,0,0,3,2,2,1,0,0,0,0
plus_030,Nexto,29,4,Blue,goal,Nexto,2356,3,27,Rival,0,0,2,7,12,3,0,0,0,0
plus_030,Nexto,30,0,Blue,goal,Nexto,2028,4,11,Rival,0,0,2,6,9,2,0,0,0,0
plus_030,Nexto,31,1,Blue,goal,Nexto,740,1,2,Rival,0,0,1,2,3,2,0,1,0,0
plus_030,Nexto,32,2,Blue,goal,Nexto,2432,4,7,Rival,0,0,4,5,9,5,0,0,0,0
plus_030,Nexto,33,3,Blue,goal,Rival,988,3,1,Rival,0,0,3,1,4,1,0,0,0,0
plus_030,Nexto,34,4,Blue,goal,Rival,640,2,1,Rival,0,0,2,1,2,2,0,0,0,0
plus_030,Nexto,35,0,Blue,goal,Rival,1052,3,3,Rival,0,0,3,3,5,3,1,1,0,0
plus_030,Nexto,36,1,Blue,goal,Rival,712,2,0,Rival,0,0,2,0,4,1,0,1,0,0
plus_030,Nexto,37,2,Blue,goal,Nexto,2880,5,8,Rival,0,0,4,6,12,6,0,0,0,0
plus_030,Nexto,38,3,Blue,goal,Nexto,1728,1,21,Rival,0,0,1,4,6,4,0,0,0,0
plus_030,Nexto,39,4,Blue,goal,Rival,644,2,1,Rival,0,0,2,1,2,1,0,0,0,0
plus_030,Nexto,40,0,Blue,goal,Nexto,1224,1,3,Rival,0,1,1,2,4,2,0,0,0,0
plus_030,Nexto,41,1,Blue,goal,Nexto,1344,2,10,Rival,0,0,2,1,4,2,1,0,0,0
plus_030,Nexto,42,2,Blue,goal,Nexto,1292,2,6,Rival,0,0,2,3,6,2,0,0,0,0
plus_030,Nexto,43,3,Blue,goal,Nexto,2036,3,14,Rival,0,0,2,3,7,3,0,0,0,0
plus_030,Nexto,44,4,Blue,goal,Nexto,788,3,3,Rival,0,0,3,3,3,2,0,0,0,0
plus_030,Nexto,45,0,Blue,goal,Nexto,1512,4,6,Rival,0,0,4,4,7,4,0,0,0,0
plus_030,Nexto,46,1,Blue,goal,Nexto,2108,3,24,Rival,0,0,3,3,7,3,0,0,0,0
plus_030,Nexto,47,2,Blue,goal,Nexto,1976,4,27,Rival,0,0,3,2,7,3,0,1,0,0
plus_030,Nexto,48,3,Blue,goal,Nexto,872,1,7,Rival,0,0,1,2,2,2,0,0,0,0
plus_030,Nexto,49,4,Blue,goal,Nexto,1824,8,11,Rival,0,0,8,7,10,4,0,0,0,0
plus_030,Nexto,50,0,Blue,goal,Nexto,1216,1,5,Rival,0,1,1,2,5,2,0,0,0,0
plus_030,Nexto,51,1,Blue,goal,Nexto,1148,1,23,Rival,0,0,1,2,5,2,0,0,0,0
plus_030,Nexto,52,2,Blue,goal,Nexto,1912,3,36,Rival,0,0,3,2,10,3,0,0,0,0
plus_030,Nexto,53,3,Blue,goal,Nexto,1196,2,4,Rival,0,0,2,4,4,3,0,0,0,0
plus_030,Nexto,54,4,Blue,goal,Nexto,836,2,3,Rival,0,0,2,3,4,2,0,0,0,0
plus_030,Nexto,55,0,Blue,goal,Nexto,1792,2,14,Rival,0,0,2,5,7,4,0,0,0,0
plus_030,Nexto,56,1,Blue,goal,Nexto,1580,2,4,Rival,0,0,2,3,7,3,0,0,0,0
plus_030,Nexto,57,2,Blue,goal,Nexto,2292,2,9,Rival,0,0,2,7,8,3,1,0,0,0
plus_030,Nexto,58,3,Blue,goal,Nexto,2052,2,8,Rival,0,0,2,4,7,4,0,0,0,0
plus_030,Nexto,59,4,Blue,goal,Nexto,1224,3,6,Rival,0,0,3,5,8,1,0,0,0,0
plus_030,Nexto,60,0,Blue,goal,Nexto,908,2,2,Rival,0,1,2,1,4,1,0,0,0,0
plus_030,Nexto,61,1,Blue,goal,Nexto,1620,1,3,Rival,0,0,1,3,7,2,0,1,0,0
plus_030,Nexto,62,2,Blue,goal,Nexto,2884,20,6,Rival,0,0,4,6,9,5,0,0,0,0
plus_030,Nexto,63,3,Blue,goal,Nexto,1204,1,5,Rival,0,0,1,2,6,2,0,0,0,0
plus_030,Nexto,64,4,Blue,goal,Nexto,1204,3,5,Rival,0,0,3,3,7,2,0,0,0,0
plus_030,Nexto,65,0,Blue,goal,Nexto,1456,1,21,Rival,0,1,1,3,7,3,0,0,0,0
plus_030,Nexto,66,1,Blue,goal,Nexto,1248,1,3,Rival,0,0,1,3,5,3,1,0,0,0
plus_030,Nexto,67,2,Blue,goal,Nexto,2364,7,8,Rival,0,0,6,2,9,3,0,0,0,0
plus_030,Nexto,68,3,Blue,goal,Nexto,948,1,2,Rival,0,0,1,2,5,2,1,0,0,0
plus_030,Nexto,69,4,Blue,goal,Rival,628,2,1,Rival,0,0,2,1,2,2,0,0,0,0
plus_030,Nexto,70,0,Blue,goal,Nexto,1396,2,2,Rival,0,0,2,2,5,2,0,0,0,0
plus_030,Nexto,71,1,Blue,goal,Rival,716,4,2,Rival,0,0,4,2,3,1,0,0,0,0
plus_030,Nexto,72,2,Blue,goal,Rival,556,2,1,Rival,0,0,2,1,2,1,0,1,0,0
plus_030,Nexto,73,3,Blue,goal,Nexto,1448,1,5,Rival,0,0,1,3,8,3,0,0,0,0
plus_030,Nexto,74,4,Blue,goal,Rival,600,2,1,Rival,0,0,2,1,2,2,0,0,0,0
plus_030,Nexto,75,0,Blue,goal,Nexto,1648,2,5,Rival,0,0,2,3,7,3,0,0,0,0
plus_030,Nexto,76,1,Blue,goal,Nexto,1392,2,3,Rival,0,0,1,2,4,2,0,1,0,0
plus_030,Nexto,77,2,Blue,goal,Nexto,1932,4,4,Rival,0,0,4,3,4,3,0,0,0,0
plus_030,Nexto,78,3,Blue,goal,Nexto,1968,2,4,Rival,0,0,2,4,6,2,0,0,0,0
plus_030,Nexto,79,4,Blue,goal,Nexto,3684,5,9,Rival,0,0,4,8,11,7,0,0,0,0
plus_030,Nexto,80,0,Blue,goal,Nexto,1600,1,23,Rival,0,0,1,1,9,3,0,0,0,0
plus_030,Nexto,81,1,Blue,goal,Nexto,1800,1,4,Rival,0,0,1,3,6,2,0,0,0,0
plus_030,Nexto,82,2,Blue,goal,Nexto,1628,3,9,Rival,0,0,3,4,8,3,0,0,0,0
plus_030,Nexto,83,3,Blue,goal,Nexto,1816,4,9,Rival,0,0,2,2,7,3,1,0,0,0
plus_030,Nexto,84,4,Blue,goal,Rival,872,7,4,Rival,0,0,7,2,4,3,0,0,0,0
plus_030,Nexto,85,0,Blue,goal,Nexto,856,2,3,Rival,0,0,2,3,4,2,0,0,0,0
