checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_120,Nexto,0,0,Blue,goal,Nexto,1620,2,4,Rival,0,0,2,3,5,2,0,0,0,0
plus_120,Nexto,1,1,Blue,goal,Nexto,1976,5,34,Rival,0,0,4,2,9,3,0,0,0,0
plus_120,Nexto,2,2,Blue,goal,Nexto,2964,43,7,Rival,0,0,3,6,7,5,0,0,0,0
plus_120,Nexto,3,3,Blue,goal,Nexto,2752,6,26,Rival,0,0,4,5,8,4,0,0,0,0
plus_120,Nexto,4,4,Blue,goal,Nexto,884,2,4,Rival,0,0,2,4,5,2,0,0,0,0
plus_120,Nexto,5,0,Orange,goal,Nexto,1612,2,7,Rival,0,0,2,3,5,2,0,0,0,0
plus_120,Nexto,6,1,Orange,goal,Nexto,3080,6,35,Rival,0,0,5,2,11,4,0,0,0,0
plus_120,Nexto,7,2,Orange,goal,Nexto,1888,5,13,Rival,0,0,5,8,6,4,0,0,0,0
plus_120,Nexto,8,3,Orange,goal,Nexto,2308,4,13,Rival,2,0,4,7,8,4,0,0,0,0
plus_120,Nexto,9,4,Orange,goal,Nexto,864,2,4,Rival,0,0,2,4,4,2,0,0,0,0
