checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_120,Wisp,0,0,Blue,goal,Rival,512,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_120,Wisp,1,1,Blue,goal,Rival,488,1,0,Rival,0,0,1,0,2,0,0,0,0,0
plus_120,Wisp,2,2,Blue,goal,Rival,496,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_120,Wisp,3,3,Blue,goal,Rival,496,1,0,Rival,0,0,1,0,2,2,1,0,0,0
plus_120,Wisp,4,4,Blue,goal,Rival,960,8,2,Rival,0,0,4,2,4,4,1,0,0,0
plus_120,Wisp,5,0,Orange,goal,Rival,528,1,0,Rival,0,0,1,0,2,1,0,0,0,0
plus_120,Wisp,6,1,Orange,goal,Rival,492,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_120,Wisp,7,2,Orange,goal,Rival,500,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_120,Wisp,8,3,Orange,goal,Rival,496,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_120,Wisp,9,4,Orange,goal,Rival,820,4,2,Rival,0,0,4,2,3,3,0,0,0,0
