checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
plus_120,Wisp,0,0,Blue,goal,Wisp,4712,6,47,Rival,0,1,6,6,18,10,0,0,0,0
plus_120,Wisp,1,1,Blue,goal,Rival,492,1,0,Rival,0,0,1,0,2,1,0,0,0,0
plus_120,Wisp,2,2,Blue,goal,Rival,496,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_120,Wisp,3,3,Blue,goal,Rival,512,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_120,Wisp,4,4,Blue,goal,Wisp,1628,3,3,Rival,0,1,3,3,3,7,0,0,0,0
plus_120,Wisp,5,0,Blue,goal,Rival,548,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_120,Wisp,6,1,Blue,goal,Rival,508,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_120,Wisp,7,2,Blue,goal,Rival,504,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_120,Wisp,8,3,Blue,goal,Rival,496,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_120,Wisp,9,4,Blue,goal,Wisp,5288,11,34,Rival,0,1,5,11,19,13,2,0,0,0
plus_120,Wisp,10,0,Blue,goal,Rival,556,1,0,Rival,0,0,1,0,2,1,0,0,0,0
plus_120,Wisp,11,1,Blue,goal,Wisp,4372,5,45,Rival,0,0,3,3,14,8,0,0,0,0
plus_120,Wisp,12,2,Blue,goal,Rival,496,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_120,Wisp,13,3,Blue,goal,Rival,492,1,0,Rival,0,0,1,0,2,1,0,0,0,0
plus_120,Wisp,14,4,Blue,goal,Wisp,2600,4,10,Rival,0,0,4,8,10,6,0,0,0,0
plus_120,Wisp,15,0,Blue,goal,Rival,568,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_120,Wisp,16,1,Blue,goal,Rival,520,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_120,Wisp,17,2,Blue,goal,Rival,500,1,0,Rival,0,0,1,0,2,1,1,0,0,0
plus_120,Wisp,18,3,Blue,goal,Rival,504,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_120,Wisp,19,4,Blue,goal,Wisp,1116,2,3,Rival,0,0,2,3,7,4,0,1,0,0
plus_120,Wisp,20,0,Blue,goal,Rival,568,1,0,Rival,0,0,1,0,2,2,0,0,0,0
plus_120,Wisp,21,1,Blue,goal,Wisp,3088,4,6,Rival,0,0,4,5,8,10,0,0,0,0
plus_120,Wisp,22,2,Blue,goal,Rival,504,1,0,Rival,0,0,1,0,2,2,1,0,0,0
plus_120,Wisp,23,3,Blue,goal,Rival,492,1,0,Rival,0,0,1,0,2,2,1,0,0,0
plus_120,Wisp,24,4,Blue,goal,Wisp,1016,2,4,Rival,1,0,2,3,5,4,0,0,0,0
