checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
source,Nexto,0,0,Blue,goal,Nexto,1300,2,4,Rival,0,0,2,4,5,2,0,0,0,0
source,Nexto,1,1,Blue,goal,Nexto,1260,1,5,Rival,0,0,1,2,4,2,0,0,0,0
source,Nexto,2,2,Blue,goal,Nexto,1712,3,5,Rival,0,0,2,4,5,4,0,1,0,0
source,Nexto,3,3,Blue,goal,Nexto,2252,3,21,Rival,2,0,3,4,9,6,1,0,0,0
source,Nexto,4,4,Blue,goal,Nexto,1736,2,4,Rival,0,0,2,2,6,2,0,0,0,0
source,Nexto,5,0,Orange,goal,Nexto,1396,2,6,Rival,0,0,2,4,6,3,1,0,0,0
source,Nexto,6,1,Orange,goal,Nexto,1224,1,7,Rival,0,0,1,2,4,2,0,0,0,0
source,Nexto,7,2,Orange,goal,Nexto,1676,3,5,Rival,0,0,2,4,6,3,0,1,0,0
source,Nexto,8,3,Orange,goal,Rival,1880,4,3,Rival,2,0,4,3,8,6,1,0,0,0
source,Nexto,9,4,Orange,goal,Nexto,2088,2,3,Rival,0,0,2,2,5,2,1,0,0,0
