checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
source,Nexto,0,0,Blue,hard_time,None,5400,8,12,Rival,0,0,5,7,20,8,1,0,0,0
source,Nexto,1,1,Blue,goal,Nexto,3472,2,25,Rival,0,0,2,4,14,6,2,0,0,0
source,Nexto,2,2,Blue,goal,Nexto,1500,2,9,Rival,0,0,2,3,6,2,0,0,0,0
source,Nexto,3,3,Blue,goal,Rival,848,2,2,Rival,0,0,2,1,3,2,0,0,0,0
source,Nexto,4,4,Blue,goal,Nexto,2264,6,11,Rival,0,0,6,2,8,1,0,0,0,0
source,Nexto,5,0,Blue,goal,Nexto,2544,2,6,Rival,0,0,2,5,12,3,0,0,0,0
source,Nexto,6,1,Blue,goal,Nexto,1712,2,6,Rival,0,0,2,3,7,4,0,0,0,0
source,Nexto,7,2,Blue,goal,Nexto,3020,9,11,Rival,0,1,5,10,11,9,0,0,0,0
source,Nexto,8,3,Blue,goal,Nexto,2724,3,12,Rival,0,0,2,5,11,6,1,1,0,0
source,Nexto,9,4,Blue,goal,Nexto,1292,1,5,Rival,0,0,1,3,4,2,0,0,0,0
source,Nexto,10,0,Blue,goal,Nexto,1688,2,3,Rival,0,0,2,2,10,2,0,0,0,0
source,Nexto,11,1,Blue,goal,Nexto,1296,1,6,Rival,0,0,1,3,8,2,0,1,0,0
source,Nexto,12,2,Blue,goal,Nexto,1032,3,6,Rival,0,0,3,3,3,3,0,1,0,0
source,Nexto,13,3,Blue,goal,Nexto,2948,5,17,Rival,0,0,5,4,13,4,1,0,0,0
source,Nexto,14,4,Blue,goal,Nexto,1728,2,6,Rival,0,0,2,5,11,4,1,0,0,0
source,Nexto,15,0,Blue,goal,Nexto,1628,3,7,Rival,0,0,2,4,5,4,0,1,0,0
source,Nexto,16,1,Blue,goal,Rival,512,2,1,Rival,0,0,2,1,2,2,0,0,0,0
source,Nexto,17,2,Blue,goal,Nexto,1088,2,2,Rival,0,0,2,2,4,2,0,0,0,0
source,Nexto,18,3,Blue,goal,Rival,888,2,2,Rival,0,0,2,1,3,3,0,0,0,0
source,Nexto,19,4,Blue,goal,Nexto,3068,1,14,Rival,0,0,1,10,12,7,0,0,0,0
source,Nexto,20,0,Blue,goal,Nexto,1572,2,4,Rival,0,0,2,3,9,3,0,1,0,0
source,Nexto,21,1,Blue,goal,Nexto,1816,3,28,Rival,0,0,3,2,8,3,0,0,0,0
source,Nexto,22,2,Blue,goal,Nexto,1332,2,5,Rival,0,0,2,4,6,3,0,0,0,0
source,Nexto,23,3,Blue,goal,Nexto,904,1,2,Rival,0,0,1,2,4,2,0,0,0,0
source,Nexto,24,4,Blue,goal,Nexto,796,2,3,Rival,0,0,2,2,2,2,0,0,0,0
source,Nexto,25,0,Blue,goal,Nexto,2084,6,20,Rival,1,0,6,4,10,3,0,0,0,0
source,Nexto,26,1,Blue,goal,Nexto,1712,3,4,Rival,0,0,3,2,8,2,0,0,0,0
source,Nexto,27,2,Blue,goal,Rival,516,2,1,Rival,0,0,2,1,2,1,0,1,0,0
source,Nexto,28,3,Blue,goal,Nexto,1672,2,6,Rival,0,0,2,5,8,4,0,0,0,0
source,Nexto,29,4,Blue,goal,Nexto,1124,2,4,Rival,0,0,2,3,5,2,0,0,0,0
source,Nexto,30,0,Blue,goal,Rival,1492,7,5,Rival,0,0,5,5,6,4,0,0,0,0
source,Nexto,31,1,Blue,goal,Nexto,1124,1,6,Rival,0,0,1,4,4,2,0,0,0,0
source,Nexto,32,2,Blue,goal,Nexto,2320,10,36,Rival,0,0,9,6,10,3,0,0,0,0
source,Nexto,33,3,Blue,goal,Nexto,1176,2,4,Rival,0,0,2,4,7,2,1,0,0,0
source,Nexto,34,4,Blue,goal,Nexto,920,2,2,Rival,0,0,2,2,3,2,0,0,0,0
source,Nexto,35,0,Blue,goal,Nexto,2484,4,7,Rival,0,0,4,5,9,4,0,0,0,0
source,Nexto,36,1,Blue,goal,Nexto,2436,7,11,Rival,0,0,6,7,9,4,1,0,0,0
source,Nexto,37,2,Blue,goal,Nexto,1696,2,6,Rival,0,0,2,2,8,2,0,1,0,0
source,Nexto,38,3,Blue,goal,Nexto,1096,1,2,Rival,0,0,1,2,5,2,0,0,0,0
source,Nexto,39,4,Blue,goal,Rival,756,4,3,Rival,0,0,4,2,3,1,0,0,0,0
source,Nexto,40,0,Blue,goal,Nexto,784,2,3,Rival,0,1,2,3,2,2,0,0,0,0
source,Nexto,41,1,Blue,goal,Nexto,560,1,1,Rival,0,0,1,1,4,0,1,0,0,0
source,Nexto,42,2,Blue,goal,Nexto,1380,3,5,Rival,0,0,3,3,6,2,0,1,0,0
source,Nexto,43,3,Blue,goal,Nexto,2624,1,14,Rival,0,0,1,6,9,6,1,0,0,0
source,Nexto,44,4,Blue,goal,Nexto,1952,4,8,Rival,0,0,4,4,8,3,0,0,0,0
source,Nexto,45,0,Blue,goal,Nexto,1896,3,4,Rival,0,0,2,3,8,5,0,1,0,0
source,Nexto,46,1,Blue,goal,Nexto,1136,2,2,Rival,0,0,2,2,5,2,0,0,0,0
source,Nexto,47,2,Blue,goal,Nexto,2352,2,22,Rival,0,0,2,5,9,4,0,0,0,0
source,Nexto,48,3,Blue,goal,Nexto,1140,2,2,Rival,0,0,2,2,3,2,0,0,0,0
source,Nexto,49,4,Blue,goal,Nexto,920,2,3,Rival,0,0,2,3,5,2,0,0,0,0
source,Nexto,50,0,Blue,goal,Nexto,940,2,3,Rival,0,0,2,3,6,2,0,0,0,0
source,Nexto,51,1,Blue,goal,Nexto,1704,2,8,Rival,0,0,2,1,7,1,1,0,0,0
source,Nexto,52,2,Blue,goal,Rival,1404,5,3,Rival,0,0,4,2,5,3,0,1,0,0
source,Nexto,53,3,Blue,goal,Nexto,804,1,2,Rival,0,0,1,2,2,2,0,0,0,0
source,Nexto,54,4,Blue,goal,Nexto,1020,2,4,Rival,0,1,2,3,3,2,0,0,0,0
source,Nexto,55,0,Blue,goal,Nexto,1368,3,6,Rival,0,0,3,3,5,3,0,0,0,0
source,Nexto,56,1,Blue,goal,Nexto,2080,2,7,Rival,0,1,2,2,7,3,1,1,0,0
source,Nexto,57,2,Blue,goal,Nexto,1864,6,7,Rival,0,1,6,5,6,3,0,1,0,0
source,Nexto,58,3,Blue,goal,Nexto,1212,1,3,Rival,0,0,1,2,7,2,0,0,0,0
source,Nexto,59,4,Blue,goal,Nexto,1144,1,4,Rival,0,0,1,2,3,2,0,0,0,0
source,Nexto,60,0,Blue,goal,Nexto,1904,1,3,Rival,0,0,1,2,7,3,0,0,0,0
source,Nexto,61,1,Blue,goal,Nexto,2812,4,18,Rival,0,0,3,6,11,5,0,0,0,0
source,Nexto,62,2,Blue,goal,Nexto,1724,2,5,Rival,0,0,2,3,7,5,1,0,0,0
source,Nexto,63,3,Blue,goal,Nexto,2496,2,14,Rival,0,0,2,6,11,5,0,0,0,0
source,Nexto,64,4,Blue,goal,Nexto,1408,1,5,Rival,0,0,1,2,5,3,0,0,0,0
source,Nexto,65,0,Blue,goal,Nexto,1456,4,7,Rival,0,0,4,6,6,3,0,0,0,0
source,Nexto,66,1,Blue,goal,Nexto,1572,2,7,Rival,0,0,1,4,7,3,0,0,0,0
source,Nexto,67,2,Blue,goal,Rival,820,5,2,Rival,0,0,5,1,3,3,0,1,0,0
source,Nexto,68,3,Blue,goal,Nexto,2292,3,21,Rival,0,0,3,1,7,3,1,0,0,0
source,Nexto,69,4,Blue,goal,Nexto,2164,2,6,Rival,0,0,2,5,5,4,1,0,0,0
source,Nexto,70,0,Blue,goal,Nexto,1636,3,11,Rival,0,0,3,4,7,2,1,0,0,0
source,Nexto,71,1,Blue,goal,Nexto,3708,7,12,Rival,0,0,6,8,14,5,1,0,0,0
source,Nexto,72,2,Blue,goal,Nexto,1816,4,4,Rival,0,0,3,3,7,3,0,1,0,0
source,Nexto,73,3,Blue,goal,Nexto,920,1,2,Rival,0,0,1,2,2,2,0,0,0,0
source,Nexto,74,4,Blue,goal,Nexto,2612,3,13,Rival,0,0,3,5,11,3,0,0,0,0
source,Nexto,75,0,Blue,goal,Nexto,1348,3,7,Rival,0,0,3,5,6,3,0,0,0,0
source,Nexto,76,1,Blue,goal,Nexto,1516,1,5,Rival,0,0,1,3,6,3,0,0,0,0
source,Nexto,77,2,Blue,goal,Nexto,1952,3,6,Rival,0,0,2,5,5,5,0,2,0,0
source,Nexto,78,3,Blue,goal,Nexto,1304,1,7,Rival,0,0,1,2,6,2,0,0,0,0
source,Nexto,79,4,Blue,goal,Nexto,1056,2,3,Rival,0,0,2,3,6,2,0,0,0,0
