checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
source,Wisp,0,0,Blue,goal,Wisp,772,2,3,Rival,0,0,2,3,4,4,0,0,0,0
source,Wisp,1,1,Blue,hard_time,None,5400,8,12,Rival,0,2,6,6,16,9,0,0,0,0
source,Wisp,2,2,Blue,goal,Rival,524,1,0,Rival,0,0,1,0,2,2,0,0,0,0
source,Wisp,3,3,Blue,goal,Wisp,4596,9,27,Rival,0,1,6,7,11,10,0,0,0,0
source,Wisp,4,4,Blue,hard_time,None,5400,7,13,Rival,0,0,7,10,16,13,1,0,0,0
source,Wisp,5,0,Orange,goal,Wisp,4568,3,17,Rival,0,0,3,8,16,10,3,1,2,0
source,Wisp,6,1,Orange,hard_time,None,5400,6,23,Rival,1,0,5,9,16,10,0,0,0,0
source,Wisp,7,2,Orange,goal,Rival,524,1,0,Rival,0,0,1,0,2,2,0,0,0,0
source,Wisp,8,3,Orange,hard_time,None,5400,3,15,Rival,0,0,2,6,12,14,1,0,0,0
source,Wisp,9,4,Orange,hard_time,None,5400,7,14,Rival,0,0,7,10,17,13,1,0,0,0
