checkpoint,opponent,world,starting_layout,rival_side,termination,winner,duration_ticks,rival_touches,opponent_touches,first_toucher,rival_saves,opponent_saves,rival_airborne_touches,opponent_airborne_touches,rival_flips,opponent_flips,rival_wavedash_candidate_events,opponent_wavedash_candidate_events,rival_double_dash_candidate_events,opponent_double_dash_candidate_events
source,Wisp,0,0,Blue,goal,Wisp,2924,6,19,Rival,0,1,6,5,12,9,1,0,0,0
source,Wisp,1,1,Blue,goal,Wisp,1324,1,2,Rival,0,0,1,2,6,5,0,0,0,0
source,Wisp,2,2,Blue,goal,Rival,520,1,0,Rival,0,0,1,0,2,3,0,0,0,0
source,Wisp,3,3,Blue,goal,Wisp,2096,2,14,Rival,0,0,2,3,9,5,0,0,0,0
source,Wisp,4,4,Blue,goal,Wisp,3824,2,13,Rival,0,1,2,11,17,11,0,0,0,0
source,Wisp,5,0,Blue,goal,Wisp,2936,1,22,Wisp,0,0,1,6,11,9,0,0,0,0
source,Wisp,6,1,Blue,goal,Wisp,1776,2,45,Rival,0,0,1,1,7,4,0,0,0,0
source,Wisp,7,2,Blue,hard_time,None,5400,6,9,Rival,0,0,6,8,18,15,1,2,0,2
source,Wisp,8,3,Blue,goal,Wisp,1820,1,25,Rival,0,0,1,2,10,4,1,0,0,0
source,Wisp,9,4,Blue,goal,Wisp,3848,6,12,Rival,0,1,6,9,17,15,0,2,0,0
source,Wisp,10,0,Blue,goal,Wisp,2548,3,9,Rival,0,0,2,6,4,8,0,0,0,0
source,Wisp,11,1,Blue,goal,Wisp,1044,1,3,Rival,0,0,1,2,5,3,0,0,0,0
source,Wisp,12,2,Blue,goal,Rival,520,1,0,Rival,0,0,1,0,2,2,0,0,0,0
source,Wisp,13,3,Blue,goal,Wisp,3848,3,8,Rival,0,0,2,6,17,8,1,0,0,0
source,Wisp,14,4,Blue,goal,Wisp,3912,2,16,Rival,0,0,2,12,17,11,1,1,0,0
source,Wisp,15,0,Blue,goal,Rival,3620,6,9,Wisp,2,0,6,7,12,9,0,0,0,0
source,Wisp,16,1,Blue,goal,Wisp,1752,1,3,Rival,0,0,1,3,6,6,1,0,0,0
source,Wisp,17,2,Blue,goal,Rival,3156,2,4,Rival,0,0,2,4,12,8,0,0,0,0
source,Wisp,18,3,Blue,goal,Rival,504,1,0,Rival,0,0,1,0,2,3,1,0,0,0
source,Wisp,19,4,Blue,hard_time,None,5400,6,15,Rival,0,0,5,9,17,14,0,0,0,0
source,Wisp,20,0,Blue,goal,Wisp,3412,2,8,Wisp,0,0,1,6,13,8,2,0,0,0
source,Wisp,21,1,Blue,goal,Wisp,4476,3,31,Rival,0,0,3,7,17,10,0,0,0,0
source,Wisp,22,2,Blue,goal,Wisp,1240,2,3,Rival,0,0,2,3,4,4,0,0,0,0
source,Wisp,23,3,Blue,goal,Wisp,960,1,4,Rival,0,0,1,3,4,3,1,0,0,0
source,Wisp,24,4,Blue,hard_time,None,5400,3,12,Rival,0,0,3,9,18,13,1,0,0,0
source,Wisp,25,0,Blue,goal,Wisp,1744,3,31,Rival,0,0,3,3,7,5,0,1,0,0
source,Wisp,26,1,Blue,goal,Wisp,3156,2,6,Rival,0,0,2,4,13,9,0,0,0,0
source,Wisp,27,2,Blue,goal,Rival,540,1,0,Rival,0,0,1,0,2,2,0,0,0,0
source,Wisp,28,3,Blue,goal,Rival,496,1,0,Rival,0,0,1,0,2,1,1,0,0,0
source,Wisp,29,4,Blue,goal,Wisp,1552,5,5,Rival,0,0,5,5,6,5,0,1,0,0
source,Wisp,30,0,Blue,goal,Wisp,2192,2,6,Rival,0,0,2,5,10,8,0,0,0,0
source,Wisp,31,1,Blue,goal,Wisp,4044,2,7,Rival,0,0,2,6,13,8,0,0,0,0
source,Wisp,32,2,Blue,goal,Wisp,2240,2,10,Rival,0,0,2,4,7,6,0,0,0,0
source,Wisp,33,3,Blue,hard_time,None,5400,5,8,Rival,0,0,5,6,23,17,1,0,0,0
source,Wisp,34,4,Blue,hard_time,None,5400,4,18,Rival,0,2,4,10,22,11,3,0,2,0
source,Wisp,35,0,Blue,goal,Rival,908,3,1,Rival,0,0,3,1,3,4,0,0,0,0
source,Wisp,36,1,Blue,goal,Wisp,2340,1,21,Rival,0,0,1,2,10,6,0,0,0,0
source,Wisp,37,2,Blue,goal,Rival,528,1,0,Rival,0,0,1,0,2,2,0,0,0,0
source,Wisp,38,3,Blue,hard_time,None,5400,5,9,Rival,0,0,3,6,17,11,1,1,0,0
source,Wisp,39,4,Blue,goal,Rival,940,4,3,Rival,0,0,4,3,4,3,0,1,0,0
source,Wisp,40,0,Blue,goal,Wisp,5052,7,11,Wisp,0,0,5,8,19,11,0,0,0,0
source,Wisp,41,1,Blue,goal,Wisp,3136,3,6,Rival,0,0,3,5,10,10,2,0,0,0
source,Wisp,42,2,Blue,goal,Rival,532,1,0,Rival,0,0,1,0,2,2,0,0,0,0
source,Wisp,43,3,Blue,goal,Wisp,1888,3,4,Rival,0,0,3,2,11,7,1,1,0,0
source,Wisp,44,4,Blue,goal,Wisp,3732,8,15,Rival,0,0,7,6,12,12,1,1,0,0
source,Wisp,45,0,Blue,goal,Rival,1984,4,3,Rival,0,0,4,2,9,4,0,0,0,0
source,Wisp,46,1,Blue,goal,Wisp,1600,2,5,Rival,0,0,2,3,8,5,0,0,0,0
source,Wisp,47,2,Blue,goal,Rival,504,1,0,Rival,0,0,1,0,2,1,0,0,0,0
source,Wisp,48,3,Blue,goal,Rival,504,1,0,Rival,0,0,1,0,2,2,1,0,0,0
source,Wisp,49,4,Blue,goal,Wisp,2436,4,44,Rival,0,0,4,7,8,3,0,0,0,0
source,Wisp,50,0,Blue,goal,Wisp,3616,4,49,Wisp,0,0,4,6,12,6,0,0,0,0
source,Wisp,51,1,Blue,hard_time,None,5400,7,23,Rival,0,1,7,7,18,13,1,0,0,0
source,Wisp,52,2,Blue,goal,Rival,532,1,0,Rival,0,0,1,0,2,2,0,0,0,0
source,Wisp,53,3,Blue,goal,Rival,500,1,0,Rival,0,0,1,0,2,1,1,0,0,0
source,Wisp,54,4,Blue,hard_time,None,5400,6,31,Rival,0,1,6,8,21,14,4,1,3,0
source,Wisp,55,0,Blue,hard_time,None,5400,7,66,Rival,0,1,6,5,16,12,1,0,0,0
source,Wisp,56,1,Blue,goal,Wisp,1460,3,3,Rival,0,0,3,3,5,6,0,0,0,0
source,Wisp,57,2,Blue,goal,Wisp,3980,2,19,Rival,1,0,2,6,17,9,1,0,0,0
source,Wisp,58,3,Blue,goal,Wisp,3316,1,17,Rival,0,0,1,4,10,8,1,0,0,0
source,Wisp,59,4,Blue,goal,Wisp,924,2,3,Rival,0,0,2,3,4,4,0,0,0,0
source,Wisp,60,0,Blue,hard_time,None,5400,5,17,Rival,0,0,4,7,20,11,1,1,0,0
source,Wisp,61,1,Blue,goal,Wisp,2248,1,8,Rival,0,0,1,7,10,6,0,0,0,0
source,Wisp,62,2,Blue,goal,Rival,496,1,0,Rival,0,0,1,0,2,1,0,0,0,0
source,Wisp,63,3,Blue,goal,Wisp,2884,2,4,Rival,0,0,1,4,12,8,2,0,0,0
source,Wisp,64,4,Blue,goal,Wisp,3048,4,9,Rival,0,1,4,7,12,8,0,1,0,0
source,Wisp,65,0,Blue,goal,Rival,2660,5,10,Wisp,0,0,5,6,7,6,0,0,0,0
source,Wisp,66,1,Blue,goal,Wisp,1012,2,3,Rival,0,0,2,3,7,3,0,0,0,0
source,Wisp,67,2,Blue,goal,Wisp,1072,1,10,Rival,0,0,1,1,5,3,0,0,0,0
source,Wisp,68,3,Blue,goal,Rival,2824,3,2,Rival,0,0,2,2,8,8,1,0,0,0
source,Wisp,69,4,Blue,hard_time,None,5400,8,10,Rival,0,0,5,7,16,14,0,2,0,0
source,Wisp,70,0,Blue,goal,Wisp,1796,1,61,Rival,0,0,1,5,11,3,0,0,0,0
source,Wisp,71,1,Blue,goal,Wisp,1568,3,2,Rival,0,0,3,1,7,7,0,0,0,0
source,Wisp,72,2,Blue,goal,Rival,532,1,0,Rival,0,0,1,0,2,2,0,0,0,0
source,Wisp,73,3,Blue,goal,Rival,504,1,0,Rival,0,0,1,0,2,2,1,0,0,0
source,Wisp,74,4,Blue,hard_time,None,5400,10,13,Rival,0,0,6,7,16,15,1,0,0,0
source,Wisp,75,0,Blue,goal,Wisp,1064,2,3,Rival,0,0,2,3,6,3,0,0,0,0
source,Wisp,76,1,Blue,goal,Wisp,1704,1,3,Rival,0,0,1,3,3,7,0,0,0,0
source,Wisp,77,2,Blue,goal,Rival,528,1,0,Rival,0,0,1,0,2,2,0,0,0,0
source,Wisp,78,3,Blue,goal,Rival,556,1,0,Rival,0,0,1,0,3,1,1,0,0,0
source,Wisp,79,4,Blue,goal,Wisp,1404,3,6,Rival,0,0,3,3,6,2,0,0,0,0
source,Wisp,80,0,Blue,hard_time,None,5400,5,12,Rival,1,0,4,11,22,15,1,0,0,0
source,Wisp,81,1,Blue,hard_time,None,5400,7,21,Rival,0,0,4,14,23,16,0,0,0,0
source,Wisp,82,2,Blue,goal,Wisp,1692,4,16,Rival,0,0,4,3,8,5,0,0,0,0
source,Wisp,83,3,Blue,goal,Rival,520,1,0,Rival,0,0,1,0,2,2,0,0,0,0
source,Wisp,84,4,Blue,goal,Wisp,2648,3,23,Rival,0,0,3,4,6,5,0,0,0,0
source,Wisp,85,0,Blue,goal,Wisp,2764,4,7,Wisp,0,0,3,7,10,7,0,0,0,0
source,Wisp,86,1,Blue,goal,Rival,3188,8,2,Rival,1,0,7,1,11,8,1,0,0,0
source,Wisp,87,2,Blue,goal,Rival,520,1,0,Rival,0,0,1,0,2,2,0,0,0,0
