base_index,variant,source,mirrored,rival_side,winner,outcome,elapsed_ticks,elapsed_seconds,rival_inherited_original_physical_car,rival_closest_to_ball,ball_field_third,ball_height_band,rival_boost_advantage,touch_rival,touch_nexto,demo_rival,demo_nexto,possession_total_rival,possession_same_rival,possession_opponent_rival,goal_entry_valid,goal_entry_x,goal_entry_z
0,0,rival_stochastic,False,0,1,nexto,525,4.375,Blue,False,orange,ground,0.0,0,4,0,0,0,0,0,False,-84.17733764648438,93.11141204833984
0,1,rival_stochastic,False,1,0,nexto,1467,12.225,Orange,True,orange,ground,0.0,5,35,0,0,5,3,2,False,-730.359619140625,328.8739318847656
0,2,rival_stochastic,True,0,1,nexto,1695,14.125,Orange,True,blue,ground,0.0,6,16,0,0,6,4,2,False,-500.72515869140625,142.07081604003906
0,3,rival_stochastic,True,1,0,nexto,525,4.375,Blue,False,blue,ground,0.0,0,4,0,0,0,0,0,False,-84.16429138183594,93.11155700683594
1,0,rival_stochastic,False,0,1,nexto,4540,37.833333333333336,Blue,True,orange,ground,-12.0,63,36,1,0,63,60,3,False,36.584869384765625,93.10063171386719
1,1,rival_stochastic,False,1,0,nexto,740,6.166666666666667,Orange,False,orange,ground,12.0,0,37,0,0,0,0,0,False,205.15280151367188,500.5025939941406
1,2,rival_stochastic,True,0,1,nexto,756,6.3,Orange,False,blue,ground,12.0,0,55,0,0,0,0,0,False,177.76808166503906,411.8829040527344
1,3,rival_stochastic,True,1,0,nexto,2059,17.158333333333335,Blue,True,blue,ground,-12.0,4,8,0,0,4,3,1,False,282.82122802734375,100.17455291748047
2,0,rival_stochastic,False,0,1,nexto,1492,12.433333333333334,Blue,True,middle,ground,58.83324432373047,19,9,0,0,19,17,2,False,214.25067138671875,117.82835388183594
2,1,rival_stochastic,False,1,0,nexto,499,4.158333333333333,Orange,False,middle,ground,-58.83324432373047,0,8,0,0,0,0,0,False,-321.08233642578125,520.7767944335938
2,2,rival_stochastic,True,0,1,nexto,499,4.158333333333333,Orange,False,middle,ground,-58.83324432373047,0,8,0,0,0,0,0,False,-320.9150390625,520.8561401367188
2,3,rival_stochastic,True,1,0,nexto,1531,12.758333333333333,Blue,True,middle,ground,58.83324432373047,19,12,0,0,19,17,2,False,-385.33929443359375,209.3358154296875
3,0,rival_stochastic,False,0,1,nexto,36,0.3,Blue,True,blue,ground,12.0,0,0,0,0,0,0,0,False,-509.84332275390625,99.44380187988281
3,1,rival_stochastic,False,1,1,rival,36,0.3,Orange,False,blue,ground,-12.0,0,0,0,0,0,0,0,False,-509.84332275390625,99.44380187988281
3,2,rival_stochastic,True,0,0,rival,36,0.3,Orange,False,orange,ground,-12.0,0,0,0,0,0,0,0,False,-509.84332275390625,99.44380187988281
3,3,rival_stochastic,True,1,0,nexto,36,0.3,Blue,True,orange,ground,12.0,0,0,0,0,0,0,0,False,-509.84332275390625,99.44380187988281
4,0,rival_stochastic,False,0,1,nexto,318,2.65,Blue,True,blue,ground,-12.0,0,2,0,0,0,0,0,False,-366.4670104980469,93.1520767211914
4,1,rival_stochastic,False,1,0,nexto,774,6.45,Orange,False,blue,ground,12.0,2,4,0,0,2,1,1,False,-103.89347076416016,290.232177734375
4,2,rival_stochastic,True,0,1,nexto,774,6.45,Orange,False,orange,ground,12.0,2,4,0,0,2,1,1,False,-102.40155029296875,289.9955749511719
4,3,rival_stochastic,True,1,0,nexto,318,2.65,Blue,True,orange,ground,-12.0,0,2,0,0,0,0,0,False,-366.4593505859375,93.1521224975586
5,0,rival_stochastic,False,0,1,nexto,435,3.625,Blue,True,blue,mid,-12.0,2,2,0,0,2,1,1,False,710.5316162109375,483.6914978027344
5,1,rival_stochastic,False,1,0,nexto,1271,10.591666666666667,Orange,False,blue,mid,12.0,0,10,0,0,0,0,0,False,-39.0672492980957,407.2565002441406
5,2,rival_stochastic,True,0,1,nexto,1257,10.475,Orange,False,orange,mid,12.0,0,10,0,0,0,0,0,False,105.15129852294922,357.6121520996094
5,3,rival_stochastic,True,1,0,nexto,435,3.625,Blue,True,orange,mid,-12.0,2,2,0,0,2,1,1,False,710.7113647460938,483.6817321777344
6,0,rival_stochastic,False,0,1,nexto,887,7.391666666666667,Blue,False,blue,ground,-12.0,0,4,0,0,0,0,0,False,310.70709228515625,465.4809265136719
6,1,rival_stochastic,False,1,0,nexto,2506,20.883333333333333,Orange,True,blue,ground,12.0,2,22,0,0,2,1,1,False,-304.15484619140625,443.5177917480469
6,2,rival_stochastic,True,0,1,nexto,971,8.091666666666667,Orange,True,orange,ground,12.0,0,4,0,0,0,0,0,False,418.56280517578125,93.1496353149414
6,3,rival_stochastic,True,1,0,nexto,888,7.4,Blue,False,orange,ground,-12.0,0,4,0,0,0,0,0,False,311.3427734375,469.1079406738281
7,0,rival_stochastic,False,0,1,nexto,703,5.858333333333333,Blue,False,orange,mid,0.0,0,4,0,0,0,0,0,False,281.30987548828125,256.11212158203125
7,1,rival_stochastic,False,1,0,nexto,4579,38.15833333333333,Orange,True,orange,mid,0.0,16,88,0,0,16,13,3,False,83.41635131835938,266.7904052734375
7,2,rival_stochastic,True,0,1,nexto,1923,16.025,Orange,True,blue,mid,0.0,11,4,0,0,11,10,1,False,320.0823974609375,355.5036926269531
7,3,rival_stochastic,True,1,0,nexto,703,5.858333333333333,Blue,False,blue,mid,0.0,0,4,0,0,0,0,0,False,281.3399963378906,256.1116638183594
8,0,rival_stochastic,False,0,1,nexto,1308,10.9,Blue,False,orange,mid,-52.666900634765625,2,133,0,0,2,1,1,False,581.2416381835938,93.55919647216797
8,1,rival_stochastic,False,1,0,nexto,316,2.6333333333333333,Orange,True,orange,mid,52.666900634765625,0,2,0,0,0,0,0,False,-630.6239013671875,104.99176025390625
8,2,rival_stochastic,True,0,1,nexto,316,2.6333333333333333,Orange,True,blue,mid,52.666900634765625,0,2,0,0,0,0,0,False,-630.6228637695312,104.99150085449219
8,3,rival_stochastic,True,1,0,nexto,1336,11.133333333333333,Blue,False,blue,mid,-52.666900634765625,2,133,0,0,2,1,1,False,-6.646450519561768,93.14663696289062
9,0,rival_stochastic,False,0,1,nexto,802,6.683333333333334,Blue,True,middle,ground,0.0,2,2,0,0,2,1,1,False,-511.42303466796875,154.79071044921875
9,1,rival_stochastic,False,1,0,nexto,3539,29.491666666666667,Orange,False,middle,ground,0.0,6,15,0,0,6,4,2,False,222.60025024414062,510.5426025390625
9,2,rival_stochastic,True,0,1,nexto,1532,12.766666666666667,Orange,False,middle,ground,0.0,2,12,0,0,2,1,1,False,48.1149787902832,412.0205078125
9,3,rival_stochastic,True,1,0,nexto,802,6.683333333333334,Blue,True,middle,ground,0.0,2,2,0,0,2,1,1,False,-510.310546875,154.81591796875
10,0,rival_stochastic,False,0,1,nexto,1534,12.783333333333333,Blue,False,middle,ground,0.0,4,42,0,0,4,3,1,False,457.3792724609375,93.45731353759766
10,1,rival_stochastic,False,1,0,nexto,1348,11.233333333333333,Orange,True,middle,ground,0.0,2,48,0,0,2,1,1,False,35.15153503417969,428.5618896484375
10,2,rival_stochastic,True,0,1,nexto,1960,16.333333333333332,Orange,True,middle,ground,0.0,2,11,0,0,2,1,1,False,-73.90756225585938,522.08154296875
10,3,rival_stochastic,True,1,0,nexto,1478,12.316666666666666,Blue,False,middle,ground,0.0,4,47,0,0,4,3,1,False,-92.44833374023438,93.19547271728516
11,0,rival_stochastic,False,0,1,nexto,1263,10.525,Blue,True,middle,mid,8.666667938232422,0,2,0,0,0,0,0,False,-563.5700073242188,93.18109130859375
